epoch,batch_idx,computetime,computetime_ms,log_time
1,231,null,342.2113342285156,339.9633891582489
_,232,null,340.78106689453125,340.30591201782227
1,232,null,340.78106689453125,340.30593848228455
_,233,null,340.0478820800781,340.64712357521057
1,233,null,340.0478820800781,340.64715027809143
_,234,null,341.77227783203125,340.9902687072754
1,234,null,341.77227783203125,340.99029541015625
_,235,null,341.5931091308594,341.33301162719727
1,235,null,341.5931091308594,341.3330383300781
_,236,null,340.8353271484375,341.67523527145386
1,236,null,340.8353271484375,341.6752622127533
_,237,null,340.3632507324219,342.01704144477844
1,237,null,340.3632507324219,342.01706743240356
_,238,null,342.12762451171875,342.3604471683502
1,238,null,342.12762451171875,342.36047434806824
_,239,null,340.45745849609375,342.7023413181305
1,239,null,340.45745849609375,342.7023677825928
_,240,null,341.1189880371094,343.04465341567993
1,240,null,341.1189880371094,343.04468035697937
_,241,null,341.12921142578125,343.38778424263
1,241,null,341.12921142578125,343.387811422348
_,242,null,341.2613220214844,343.7304890155792
1,242,null,341.2613220214844,343.7305152416229
_,243,null,340.02911376953125,344.0718696117401
1,243,null,340.02911376953125,344.07189655303955
_,244,null,341.9545593261719,344.41534662246704
1,244,null,341.9545593261719,344.4153788089752
_,245,null,342.1521911621094,344.7590973377228
1,245,null,342.1521911621094,344.75912404060364
_,246,null,340.2137451171875,345.100790977478
